Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,6.274788314792216e6,782947.517953529,4.007988665069495e6,4.300794672391891e6,6.66216805778936e6,0.0,0.0,1.5347723092418164e-12,392311.8560799537,0.0,1.6445203453200078e7,5.254019196927036e6,0.0,0.0,2.61070540509874e6,3.7001061278471695e6,26814.77087037118,20171.474177079275,39923.76611723334,4492.309803357873,24250.80846834567,45088.90948055411,161611.18339210257,54407.36745488679,443394.93305153283,1.8618758577982597e6,353810.7664774983,92572.88631550128,71813.38840630067,139440.62036476145,15961.407141036925,80949.04861936341,156116.73580043897,582597.9186373065,198475.60908036635,1.8516862437231212e6,5.165965224826699e6,1.452805962034893e6,6.327526045919048e7
t1,899.5001311581498,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,25.1626590111773,-0.0,2537.2451372813002,-0.0,-0.0,-0.0,-0.0,0.0,1.906366952222099,1.4448254795788538,2.8695839386080015,0.3210723287953008,1.7458307878244481,3.2508573290524208,11.618804898279949,3.953203048292141,30.471162549583397,139.88435327120655,24.56783604448141,2.1771432647563476,1.6528312399870435,3.265714897134521,0.37950203697587703,1.9973791419783005,3.6951514126598557,13.23263681560624,4.509083413016013,39.59291534959144,128.6390205365734,32.838054880300575,3915.921257067131
t2,1471.3612600287138,0.0,47.801362978292836,0.0,0.0,-0.0,-0.0,-0.0,138.6567355928416,-0.0,3209.748589928856,1736.3309241787085,-0.0,-0.0,1580.0,0.0,1.001132160130837,0.7587527950465293,1.5069673568285231,0.16861173223256204,0.9168262940145558,1.7071937888546904,6.101637060165838,2.0760319531134197,16.501342168773412,78.01948946965223,13.285554872287797,1.307642625401388,0.9927286903849987,1.961463938102082,0.22793770534519603,1.1996721333957687,2.219393446782172,7.947827883746967,2.7082598411409475,24.552378006463222,78.02744831883743,19.788799926115225,8446.875964874229
t3,1830.0,137.1463053928213,785.9580872021702,1490.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3203.222796791483,1280.5054250694152,-0.0,-0.0,0.0,0.0,0.5407016129343556,0.40979490664498536,0.8138982173643459,0.0,0.4951688455293572,0.922038539951217,3.295434040936757,1.1212443973480848,9.093007513385729,43.37813871018685,7.177392491216884,0.5922923462270556,0.44965313440631977,0.8884385193405834,0.1032436199845326,0.5433874736028034,1.005266826165186,3.599942012618572,1.2266972216583283,11.348178172456592,38.09961174091168,8.977555950207485,8860.913700748968
t4,0.0,240.0,1166.7,834.6099206215307,0.0,-0.0,-0.0,-0.0,138.6567355928416,-0.0,2083.38396973592,1736.3309241787085,-0.0,-0.0,0.0,0.0,0.7820916855023938,0.5927431721702354,1.1772538002825508,0.13172070492671897,0.7162313330390342,1.3336721373830294,4.766643009535643,1.621811179410227,13.390296648654715,58.67915257072185,10.444017595929983,0.736614820424752,0.5592190494509011,1.1049222306371282,0.1284007485144063,0.6757934132337174,1.2502178144823772,4.477131362673378,1.525603630375117,14.357020801620179,42.51085412382794,11.224451244199345,6371.867413205995
t5,1443.1600333522288,236.87441787976823,1166.7,1481.155784631674,0.0,-0.0,-0.0,-0.0,138.6567355928416,-0.0,4465.52253729225,0.0,-0.0,-0.0,0.0,0.0,0.9667044054503573,0.7326601809729023,1.4551445260989588,0.16281337354953385,0.8852977186755902,1.6484854071890298,5.891808955323756,2.0046396618286355,17.04399969127741,76.07241881758331,12.990768565387722,0.38052883374640595,0.2888877155276614,0.570793250619609,0.06633071413928177,0.3491090217856936,0.6458516903035331,2.31284726933022,0.7881136166812032,7.643708489351926,25.79374239288791,5.840237138626752,9096.6044001851
t6,1830.0,240.0,1166.7,359.6176417352247,0.0,-0.0,0.0,-0.0,0.0,-0.0,2344.8648527513046,1736.3309241787085,-0.0,-0.0,285.36760945014,0.0,1.668598048512397,1.2646216788725537,2.511679167760766,0.2810270397494563,1.5280845286376685,2.845398777463245,10.169666000933452,3.460145426915181,31.35313910430887,141.35438701429754,22.714599282607246,1.4783724637281204,1.1223423979220364,2.2175586955921807,0.2576979523929751,1.3563050125946057,2.5091642733000206,8.985520708439264,3.0618585659323223,31.554592728055194,91.56555174597572,22.981266648833827,8349.122605378203
t7,1502.327509300361,240.0,1166.7,0.0,0.0,0.0,-0.0,0.0,89.94686283319444,-0.0,3840.4549542537334,0.0,0.0,0.0,0.0,0.0,5.447142897554782,4.128360932883624,8.199383519477196,0.9174135406408053,4.988436127234378,9.288812098988153,33.19890250193914,11.295654219139914,109.126717805094,-0.0,75.79137246284864,3.7468381048657724,2.8445032401618597,5.620257157298659,0.6531185687380703,3.4374661512530027,6.3593123798180535,22.773213252051143,7.760079836453651,85.43996711392263,247.2728372417682,59.55026433109298,7547.269379870514
t8,1777.1158552360666,240.0,1166.7,0.0,0.0,0.0,-0.0,-0.0,15.174197231752297,-0.0,-0.0,172.1069971920889,-0.0,-0.0,0.0,0.0,8.032234318033478,6.08758811472011,12.090626394513551,1.3527973588266908,7.35583563862013,13.697073258120245,48.95435442254088,16.656317480553632,151.22569114687843,663.6002196949943,115.45558459996491,7.624196753501932,5.788094324332889,11.4362951302529,1.328988424922355,6.994675920643974,12.940150453191354,46.33972797426633,8.343373991928392,163.5060925356918,479.26595836165797,125.09145362911522,5284.264379587179
