Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1.2277335942307013e8,0.0,0.0,1.2277335942307013e8
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,5.1083327401397014e8,0.0,5.1083327401397014e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,8.96779468681833e6,0.0,8.96779468681833e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,2.501068926128542e8,0.0,2.501068926128542e8
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,3.888219384870022e7,0.0,3.888219384870022e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,6.1347684116755165e7,6.1347684116755165e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,1.1206407601166132e8,1.1206407601166132e8
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_nuclear_1,1,1,1.6044670552932906e9,0.0,0.0,1.6044670552932906e9
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,0.0,0.0,0.0
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,0.0,0.0,0.0
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0,-6.214448616453336e-9,0.0,-6.214448616453336e-9
