Constraint,CapRes_1,CapRes_2,CapRes_3
t1,0.0,0.0,0.0
t2,0.0,0.0,0.0
t3,0.0,0.0,0.0
t4,0.0,0.0,0.0
t5,0.0,0.0,0.0
t6,0.0,0.0,0.0
t7,0.0,0.0,0.0
t8,-0.0,0.0,0.0
t9,0.0,-0.0,0.0
t10,0.0,0.0,0.0
t11,0.0,0.0,0.0
t12,0.0,0.0,0.0
t13,0.0,0.0,0.0
t14,0.0,0.0,0.0
t15,0.0,0.0,0.0
t16,0.0,0.0,0.0
t17,0.0,0.0,0.0
t18,0.0,0.0,0.0
t19,-0.0,0.0,0.0
t20,-0.0,0.0,0.0
t21,0.0,0.0,0.0
t22,0.0,0.0,0.0
t23,0.0,0.0,0.0
t24,0.0,0.0,0.0
t25,0.0,0.0,0.0
t26,0.0,0.0,0.0
t27,0.0,0.0,0.0
t28,0.0,0.0,0.0
t29,0.0,0.0,0.0
t30,0.0,0.0,0.0
t31,0.0,0.0,0.0
t32,0.0,0.0,0.0
t33,0.0,-0.0,0.0
t34,0.0,0.0,0.0
t35,0.0,0.0,0.0
t36,0.0,0.0,0.0
t37,0.0,0.0,0.0
t38,0.0,0.0,0.0
t39,0.0,0.0,0.0
t40,0.0,0.0,0.0
t41,0.0,0.0,0.0
t42,0.34444333897124657,0.34444333897124657,0.0
t43,0.34444333897124657,0.34444333897124657,0.0
t44,0.3444433389712466,0.3444433389712466,0.0
t45,0.3444433389712466,0.34444333897124657,0.0
t46,0.34444333897124657,0.34444333897124657,0.0
t47,0.3430024176698836,0.22962889264749764,0.0
t48,0.0,0.0,0.0
t49,0.0,77.13115414212795,342.3743050814911
t50,0.0,-0.0,342.3743050814911
t51,0.0,-0.0,342.3743050814911
t52,0.0,-0.0,342.3743050814911
t53,0.0,-0.0,342.3743050814911
t54,0.0,-0.0,405.20821750948056
t55,-0.0,-0.0,405.20821750948056
t56,-0.0,-0.0,429.3315859305332
t57,-0.0,0.0,416.64063856211214
t58,0.0,0.0,0.0
t59,0.0,0.0,0.0
t60,0.0,0.0,0.0
t61,0.0,0.0,0.0
t62,0.0,0.0,0.0
t63,0.0,0.0,0.0
t64,0.0,0.0,0.0
t65,0.0,0.0,0.0
